rating,reviewer,product,reviewText
4,stephanie,Apple AirPods Pro,ry fact go mode noise cancellation instantly selling point simple use iphone bass unimpressive even turned way equalizer disappointing sound quality still good overall doesnt deliver bass ive much cheaper headphones better bass dont see apple couldnt delivered good sound good bass
2,Crysti Elder,Apple AirPods Pro,disappointed air pods today one stopped working ive done everything says fix paid full price wondering refurbished return window expired 2 days ago disappointed airpods stopped working 1 month
1,Frankie,Apple AirPods Pro,hurt ears bad wearing 20 minutes return cant give full review earache 3 days way
3,Aowal,Apple AirPods Pro,os cons maybe people perfect fit pros 1 amazing call quality 2 good battery life 3 bluetooth connection amazing cons 1 switching devices painful 2 expected better sound quality 3 fit fit ears perfectly using days decided return expectation thanks amazons amazing return policy quite disappointed purchase
1,Christian Rivas,Apple AirPods Pro,stopped working hearing popping noises couple days bought nov 2019 lasted less 1 year
